Date,Team,Opponent,ERA,Player,Year
Apr 16,BOS,@ TB,3.63,Sean Newcomb,2025
Apr 23,BOS,vs SEA,4.43,Sean Newcomb,2025
Apr 27,BOS,@ CLE,4.24,Sean Newcomb,2025
Mar 31,BOS,@ BAL,9.0,Sean Newcomb,2025
Apr 6,BOS,vs STL,5.19,Sean Newcomb,2025
Apr 11,BOS,@ CWS,4.97,Sean Newcomb,2025
Apr 16,BOS,@ TB,3.63,Sean Newcomb,2025
Apr 23,BOS,vs SEA,4.43,Sean Newcomb,2025
Apr 27,BOS,@ CLE,4.24,Sean Newcomb,2025
Mar 31,HOU,vs SF,5.4,Ronel Blanco,2025
Apr 6,HOU,@ MIN,9.45,Ronel Blanco,2025
Apr 11,HOU,vs LAA,6.94,Ronel Blanco,2025
Apr 16,HOU,@ STL,6.48,Ronel Blanco,2025
Apr 22,HOU,vs TOR,5.01,Ronel Blanco,2025
Apr 28,HOU,vs DET,5.08,Ronel Blanco,2025
Mar 31,HOU,vs SF,5.4,Ronel Blanco,2025
Apr 6,HOU,@ MIN,9.45,Ronel Blanco,2025
Apr 11,HOU,vs LAA,6.94,Ronel Blanco,2025
Apr 16,HOU,@ STL,6.48,Ronel Blanco,2025
Apr 22,HOU,vs TOR,5.01,Ronel Blanco,2025
Apr 28,HOU,vs DET,5.08,Ronel Blanco,2025
Mar 31,LAA,@ STL,5.4,Tyler Anderson,2025
Apr 6,LAA,vs CLE,4.5,Tyler Anderson,2025
Apr 12,LAA,@ HOU,2.87,Tyler Anderson,2025
Apr 18,LAA,vs SF,2.08,Tyler Anderson,2025
Apr 24,LAA,vs PIT,2.6,Tyler Anderson,2025
Apr 30,LAA,@ SEA,2.67,Tyler Anderson,2025
Mar 31,LAA,@ STL,5.4,Tyler Anderson,2025
Apr 6,LAA,vs CLE,4.5,Tyler Anderson,2025
Apr 12,LAA,@ HOU,2.87,Tyler Anderson,2025
Apr 18,LAA,vs SF,2.08,Tyler Anderson,2025
Apr 24,LAA,vs PIT,2.6,Tyler Anderson,2025
Apr 30,LAA,@ SEA,2.67,Tyler Anderson,2025
Mar 29,AZ,vs CHC,4.5,Brandon Pfaadt,2025
Apr 4,AZ,@ WSH,5.25,Brandon Pfaadt,2025
Apr 9,AZ,vs BAL,3.5,Brandon Pfaadt,2025
Apr 16,AZ,@ MIA,3.04,Brandon Pfaadt,2025
Apr 22,AZ,vs TB,2.73,Brandon Pfaadt,2025
Apr 27,AZ,vs ATL,2.78,Brandon Pfaadt,2025
May 3,AZ,@ PHI,3.79,Brandon Pfaadt,2025
Mar 29,AZ,vs CHC,4.5,Brandon Pfaadt,2025
Apr 4,AZ,@ WSH,5.25,Brandon Pfaadt,2025
Apr 9,AZ,vs BAL,3.5,Brandon Pfaadt,2025
Apr 16,AZ,@ MIA,3.04,Brandon Pfaadt,2025
Apr 22,AZ,vs TB,2.73,Brandon Pfaadt,2025
Apr 27,AZ,vs ATL,2.78,Brandon Pfaadt,2025
May 3,AZ,@ PHI,3.79,Brandon Pfaadt,2025
Mar 27,MIN,@ STL,3.6,Pablo Lopez,2025
Apr 2,MIN,@ CWS,2.25,Pablo Lopez,2025
Apr 8,MIN,@ KC,1.62,Pablo Lopez,2025
Apr 25,MIN,vs LAA,2.08,Pablo Lopez,2025
Apr 30,MIN,@ CLE,2.25,Pablo Lopez,2025
Mar 27,MIN,@ STL,3.6,Pablo Lopez,2025
Apr 2,MIN,@ CWS,2.25,Pablo Lopez,2025
Apr 8,MIN,@ KC,1.62,Pablo Lopez,2025
Apr 25,MIN,vs LAA,2.08,Pablo Lopez,2025
Apr 30,MIN,@ CLE,2.25,Pablo Lopez,2025
Mar 27,KC,vs CLE,5.4,Cole Ragans,2025
Apr 2,KC,@ MIL,3.6,Cole Ragans,2025
Apr 8,KC,vs MIN,2.81,Cole Ragans,2025
Apr 13,KC,@ CLE,2.28,Cole Ragans,2025
Apr 18,KC,@ DET,3.58,Cole Ragans,2025
Apr 24,KC,vs COL,4.4,Cole Ragans,2025
Mar 27,KC,vs CLE,5.4,Cole Ragans,2025
Apr 2,KC,@ MIL,3.6,Cole Ragans,2025
Apr 8,KC,vs MIN,2.81,Cole Ragans,2025
Apr 13,KC,@ CLE,2.28,Cole Ragans,2025
Apr 18,KC,@ DET,3.58,Cole Ragans,2025
Apr 24,KC,vs COL,4.4,Cole Ragans,2025
Mar 30,BAL,@ TOR,4.5,Tomoyuki Sugano,2025
Apr 5,BAL,@ KC,2.89,Tomoyuki Sugano,2025
Apr 12,BAL,vs TOR,3.86,Tomoyuki Sugano,2025
Apr 17,BAL,vs CLE,3.43,Tomoyuki Sugano,2025
Apr 23,BAL,@ WSH,3.54,Tomoyuki Sugano,2025
Apr 28,BAL,vs NYY,3.0,Tomoyuki Sugano,2025
May 3,BAL,vs KC,3.0,Tomoyuki Sugano,2025
Mar 30,BAL,@ TOR,4.5,Tomoyuki Sugano,2025
Apr 5,BAL,@ KC,2.89,Tomoyuki Sugano,2025
Apr 12,BAL,vs TOR,3.86,Tomoyuki Sugano,2025
Apr 17,BAL,vs CLE,3.43,Tomoyuki Sugano,2025
Apr 23,BAL,@ WSH,3.54,Tomoyuki Sugano,2025
Apr 28,BAL,vs NYY,3.0,Tomoyuki Sugano,2025
May 3,BAL,vs KC,3.0,Tomoyuki Sugano,2025
Mar 30,ATL,@ SD,4.5,Aj Smith Shawver,2025
Apr 5,ATL,vs MIA,5.19,Aj Smith Shawver,2025
Apr 12,ATL,@ TB,4.61,Aj Smith Shawver,2025
Apr 29,ATL,@ COL,4.26,Aj Smith Shawver,2025
Mar 30,ATL,@ SD,4.5,Aj Smith Shawver,2025
Apr 5,ATL,vs MIA,5.19,Aj Smith Shawver,2025
Apr 12,ATL,@ TB,4.61,Aj Smith Shawver,2025
Apr 29,ATL,@ COL,4.26,Aj Smith Shawver,2025
Mar 27,SF,@ CIN,5.4,Logan Webb,2025
Apr 1,SF,@ HOU,3.0,Logan Webb,2025
Apr 7,SF,vs CIN,1.89,Logan Webb,2025
Apr 13,SF,@ NYY,2.63,Logan Webb,2025
Apr 18,SF,@ LAA,2.4,Logan Webb,2025
Apr 23,SF,vs MIL,1.98,Logan Webb,2025
Apr 29,SF,@ SD,2.83,Logan Webb,2025
May 4,SF,vs COL,2.61,Logan Webb,2025
Mar 27,SF,@ CIN,5.4,Logan Webb,2025
Apr 1,SF,@ HOU,3.0,Logan Webb,2025
Apr 7,SF,vs CIN,1.89,Logan Webb,2025
Apr 13,SF,@ NYY,2.63,Logan Webb,2025
Apr 18,SF,@ LAA,2.4,Logan Webb,2025
Apr 23,SF,vs MIL,1.98,Logan Webb,2025
Apr 29,SF,@ SD,2.83,Logan Webb,2025
May 4,SF,vs COL,2.61,Logan Webb,2025
Mar 31,HOU,vs SF,0.0,Ryan Gusto,2025
Apr 2,HOU,vs SF,2.25,Ryan Gusto,2025
Apr 5,HOU,@ MIN,1.29,Ryan Gusto,2025
Apr 8,HOU,@ SEA,1.13,Ryan Gusto,2025
Apr 12,HOU,vs LAA,3.0,Ryan Gusto,2025
Apr 18,HOU,vs SD,3.18,Ryan Gusto,2025
Apr 23,HOU,vs TOR,2.78,Ryan Gusto,2025
Apr 29,HOU,vs DET,3.0,Ryan Gusto,2025
May 4,HOU,@ CWS,2.93,Ryan Gusto,2025
Mar 31,HOU,vs SF,0.0,Ryan Gusto,2025
Apr 2,HOU,vs SF,2.25,Ryan Gusto,2025
Apr 5,HOU,@ MIN,1.29,Ryan Gusto,2025
Apr 8,HOU,@ SEA,1.13,Ryan Gusto,2025
Apr 12,HOU,vs LAA,3.0,Ryan Gusto,2025
Apr 18,HOU,vs SD,3.18,Ryan Gusto,2025
Apr 23,HOU,vs TOR,2.78,Ryan Gusto,2025
Apr 29,HOU,vs DET,3.0,Ryan Gusto,2025
May 4,HOU,@ CWS,2.93,Ryan Gusto,2025
Mar 28,NYM,@ HOU,1.8,Tylor Megill,2025
Apr 4,NYM,vs TOR,0.87,Tylor Megill,2025
Apr 9,NYM,vs MIA,0.63,Tylor Megill,2025
Apr 15,NYM,@ MIN,1.4,Tylor Megill,2025
Apr 21,NYM,vs PHI,1.09,Tylor Megill,2025
Apr 27,NYM,@ WSH,1.74,Tylor Megill,2025
May 4,NYM,@ STL,2.5,Tylor Megill,2025
Mar 28,NYM,@ HOU,1.8,Tylor Megill,2025
Apr 4,NYM,vs TOR,0.87,Tylor Megill,2025
Apr 9,NYM,vs MIA,0.63,Tylor Megill,2025
Apr 15,NYM,@ MIN,1.4,Tylor Megill,2025
Apr 21,NYM,vs PHI,1.09,Tylor Megill,2025
Apr 27,NYM,@ WSH,1.74,Tylor Megill,2025
May 4,NYM,@ STL,2.5,Tylor Megill,2025
Mar 30,CLE,@ KC,0.0,Tanner Bibee,2025
Apr 5,CLE,@ LAA,6.52,Tanner Bibee,2025
Apr 11,CLE,vs KC,4.4,Tanner Bibee,2025
Apr 17,CLE,@ BAL,5.85,Tanner Bibee,2025
Apr 22,CLE,vs NYY,5.19,Tanner Bibee,2025
Apr 29,CLE,vs MIN,4.36,Tanner Bibee,2025
May 4,CLE,@ TOR,4.26,Tanner Bibee,2025
Mar 30,CLE,@ KC,0.0,Tanner Bibee,2025
Apr 5,CLE,@ LAA,6.52,Tanner Bibee,2025
Apr 11,CLE,vs KC,4.4,Tanner Bibee,2025
Apr 17,CLE,@ BAL,5.85,Tanner Bibee,2025
Apr 22,CLE,vs NYY,5.19,Tanner Bibee,2025
Apr 29,CLE,vs MIN,4.36,Tanner Bibee,2025
May 4,CLE,@ TOR,4.26,Tanner Bibee,2025
Apr 1,AZ,@ NYY,4.15,Corbin Burnes,2025
Apr 6,AZ,@ WSH,5.79,Corbin Burnes,2025
Apr 12,AZ,vs MIL,5.28,Corbin Burnes,2025
Apr 18,AZ,@ CHC,4.64,Corbin Burnes,2025
Apr 24,AZ,vs TB,4.05,Corbin Burnes,2025
Apr 30,AZ,@ NYM,3.58,Corbin Burnes,2025
Apr 1,AZ,@ NYY,4.15,Corbin Burnes,2025
Apr 6,AZ,@ WSH,5.79,Corbin Burnes,2025
Apr 12,AZ,vs MIL,5.28,Corbin Burnes,2025
Apr 18,AZ,@ CHC,4.64,Corbin Burnes,2025
Apr 24,AZ,vs TB,4.05,Corbin Burnes,2025
Apr 30,AZ,@ NYM,3.58,Corbin Burnes,2025
Apr 1,MIN,@ CWS,4.5,Simeon Woods Richardson,2025
Apr 7,MIN,@ KC,5.59,Simeon Woods Richardson,2025
Apr 13,MIN,vs DET,4.3,Simeon Woods Richardson,2025
Apr 19,MIN,@ ATL,4.74,Simeon Woods Richardson,2025
Apr 26,MIN,vs LAA,4.07,Simeon Woods Richardson,2025
May 1,MIN,@ CLE,4.03,Simeon Woods Richardson,2025
Apr 1,MIN,@ CWS,4.5,Simeon Woods Richardson,2025
Apr 7,MIN,@ KC,5.59,Simeon Woods Richardson,2025
Apr 13,MIN,vs DET,4.3,Simeon Woods Richardson,2025
Apr 19,MIN,@ ATL,4.74,Simeon Woods Richardson,2025
Apr 26,MIN,vs LAA,4.07,Simeon Woods Richardson,2025
May 1,MIN,@ CLE,4.03,Simeon Woods Richardson,2025
Mar 28,AZ,vs CHC,1.69,Merrill Kelly,2025
Apr 3,AZ,@ NYY,10.0,Merrill Kelly,2025
Apr 8,AZ,vs BAL,7.2,Merrill Kelly,2025
Apr 15,AZ,@ MIA,5.57,Merrill Kelly,2025
Apr 20,AZ,@ CHC,4.73,Merrill Kelly,2025
Apr 26,AZ,vs ATL,4.41,Merrill Kelly,2025
May 2,AZ,@ PHI,4.06,Merrill Kelly,2025
Mar 28,AZ,vs CHC,1.69,Merrill Kelly,2025
Apr 3,AZ,@ NYY,10.0,Merrill Kelly,2025
Apr 8,AZ,vs BAL,7.2,Merrill Kelly,2025
Apr 15,AZ,@ MIA,5.57,Merrill Kelly,2025
Apr 20,AZ,@ CHC,4.73,Merrill Kelly,2025
Apr 26,AZ,vs ATL,4.41,Merrill Kelly,2025
May 2,AZ,@ PHI,4.06,Merrill Kelly,2025
Mar 28,ATL,@ SD,5.4,Reynaldo Lopez,2025
Mar 28,ATL,@ SD,5.4,Reynaldo Lopez,2025
Mar 29,BOS,@ TEX,8.31,Walker Buehler,2025
Apr 4,BOS,vs STL,8.68,Walker Buehler,2025
Apr 10,BOS,vs TOR,5.74,Walker Buehler,2025
Apr 15,BOS,@ TB,5.23,Walker Buehler,2025
Apr 21,BOS,vs CWS,4.23,Walker Buehler,2025
Apr 26,BOS,@ CLE,4.28,Walker Buehler,2025
Mar 29,BOS,@ TEX,8.31,Walker Buehler,2025
Apr 4,BOS,vs STL,8.68,Walker Buehler,2025
Apr 10,BOS,vs TOR,5.74,Walker Buehler,2025
Apr 15,BOS,@ TB,5.23,Walker Buehler,2025
Apr 21,BOS,vs CWS,4.23,Walker Buehler,2025
Apr 26,BOS,@ CLE,4.28,Walker Buehler,2025
Mar 27,AZ,vs CHC,9.0,Zac Gallen,2025
Apr 2,AZ,@ NYY,3.38,Zac Gallen,2025
Apr 7,AZ,vs BAL,5.28,Zac Gallen,2025
Apr 13,AZ,vs MIL,4.64,Zac Gallen,2025
Apr 19,AZ,@ CHC,5.6,Zac Gallen,2025
Apr 25,AZ,vs ATL,5.57,Zac Gallen,2025
May 1,AZ,@ NYM,4.93,Zac Gallen,2025
Mar 27,AZ,vs CHC,9.0,Zac Gallen,2025
Apr 2,AZ,@ NYY,3.38,Zac Gallen,2025
Apr 7,AZ,vs BAL,5.28,Zac Gallen,2025
Apr 13,AZ,vs MIL,4.64,Zac Gallen,2025
Apr 19,AZ,@ CHC,5.6,Zac Gallen,2025
Apr 25,AZ,vs ATL,5.57,Zac Gallen,2025
May 1,AZ,@ NYM,4.93,Zac Gallen,2025
Mar 29,SF,@ CIN,3.6,Justin Verlander,2025
Apr 4,SF,vs SEA,6.14,Justin Verlander,2025
Apr 9,SF,vs CIN,6.92,Justin Verlander,2025
Apr 15,SF,@ PHI,6.75,Justin Verlander,2025
Apr 20,SF,@ LAA,5.47,Justin Verlander,2025
Apr 25,SF,vs TEX,4.7,Justin Verlander,2025
May 1,SF,vs COL,4.38,Justin Verlander,2025
Mar 29,SF,@ CIN,3.6,Justin Verlander,2025
Apr 4,SF,vs SEA,6.14,Justin Verlander,2025
Apr 9,SF,vs CIN,6.92,Justin Verlander,2025
Apr 15,SF,@ PHI,6.75,Justin Verlander,2025
Apr 20,SF,@ LAA,5.47,Justin Verlander,2025
Apr 25,SF,vs TEX,4.7,Justin Verlander,2025
May 1,SF,vs COL,4.38,Justin Verlander,2025
Mar 31,SD,vs CLE,3.6,Kyle Hart,2025
Apr 6,SD,@ CHC,11.12,Kyle Hart,2025
Apr 12,SD,vs COL,5.4,Kyle Hart,2025
Apr 18,SD,@ HOU,6.48,Kyle Hart,2025
Apr 23,SD,@ DET,6.0,Kyle Hart,2025
Mar 31,SD,vs CLE,3.6,Kyle Hart,2025
Apr 6,SD,@ CHC,11.12,Kyle Hart,2025
Apr 12,SD,vs COL,5.4,Kyle Hart,2025
Apr 18,SD,@ HOU,6.48,Kyle Hart,2025
Apr 23,SD,@ DET,6.0,Kyle Hart,2025
Mar 31,COL,@ PHI,0.0,German Marquez,2025
Apr 5,COL,vs ATH,2.45,German Marquez,2025
Apr 11,COL,@ SD,4.6,German Marquez,2025
Apr 16,COL,@ LAD,8.27,German Marquez,2025
Apr 24,COL,@ KC,9.3,German Marquez,2025
Apr 29,COL,vs ATL,9.82,German Marquez,2025
May 4,COL,@ SF,9.9,German Marquez,2025
Mar 31,COL,@ PHI,0.0,German Marquez,2025
Apr 5,COL,vs ATH,2.45,German Marquez,2025
Apr 11,COL,@ SD,4.6,German Marquez,2025
Apr 16,COL,@ LAD,8.27,German Marquez,2025
Apr 24,COL,@ KC,9.3,German Marquez,2025
Apr 29,COL,vs ATL,9.82,German Marquez,2025
May 4,COL,@ SF,9.9,German Marquez,2025
Mar 30,SD,vs ATL,0.0,Nick Pivetta,2025
Apr 5,SD,@ CHC,2.7,Nick Pivetta,2025
Apr 11,SD,vs COL,1.59,Nick Pivetta,2025
Apr 16,SD,vs CHC,1.57,Nick Pivetta,2025
Apr 22,SD,@ DET,1.2,Nick Pivetta,2025
Apr 29,SD,vs SF,1.78,Nick Pivetta,2025
Mar 30,SD,vs ATL,0.0,Nick Pivetta,2025
Apr 5,SD,@ CHC,2.7,Nick Pivetta,2025
Apr 11,SD,vs COL,1.59,Nick Pivetta,2025
Apr 16,SD,vs CHC,1.57,Nick Pivetta,2025
Apr 22,SD,@ DET,1.2,Nick Pivetta,2025
Apr 29,SD,vs SF,1.78,Nick Pivetta,2025
Mar 28,TB,vs COL,1.5,Ryan Pepiot,2025
Apr 2,TB,vs PIT,2.45,Ryan Pepiot,2025
Apr 9,TB,vs LAA,3.38,Ryan Pepiot,2025
Apr 15,TB,vs BOS,4.91,Ryan Pepiot,2025
Apr 20,TB,vs NYY,4.82,Ryan Pepiot,2025
Apr 26,TB,@ SD,4.24,Ryan Pepiot,2025
May 2,TB,@ NYY,4.23,Ryan Pepiot,2025
Mar 28,TB,vs COL,1.5,Ryan Pepiot,2025
Apr 2,TB,vs PIT,2.45,Ryan Pepiot,2025
Apr 9,TB,vs LAA,3.38,Ryan Pepiot,2025
Apr 15,TB,vs BOS,4.91,Ryan Pepiot,2025
Apr 20,TB,vs NYY,4.82,Ryan Pepiot,2025
Apr 26,TB,@ SD,4.24,Ryan Pepiot,2025
May 2,TB,@ NYY,4.23,Ryan Pepiot,2025
Mar 27,CWS,vs LAA,0.0,Sean Burke,2025
Apr 2,CWS,vs MIN,5.23,Sean Burke,2025
Apr 9,CWS,@ CLE,6.08,Sean Burke,2025
Apr 15,CWS,vs ATH,7.56,Sean Burke,2025
Apr 20,CWS,@ BOS,6.23,Sean Burke,2025
Apr 25,CWS,@ ATH,6.0,Sean Burke,2025
May 1,CWS,vs MIL,4.91,Sean Burke,2025
Mar 27,CWS,vs LAA,0.0,Sean Burke,2025
Apr 2,CWS,vs MIN,5.23,Sean Burke,2025
Apr 9,CWS,@ CLE,6.08,Sean Burke,2025
Apr 15,CWS,vs ATH,7.56,Sean Burke,2025
Apr 20,CWS,@ BOS,6.23,Sean Burke,2025
Apr 25,CWS,@ ATH,6.0,Sean Burke,2025
May 1,CWS,vs MIL,4.91,Sean Burke,2025
Mar 30,AZ,vs CHC,5.06,Eduardo Rodriguez,2025
Apr 5,AZ,@ WSH,6.1,Eduardo Rodriguez,2025
Apr 11,AZ,vs MIL,4.86,Eduardo Rodriguez,2025
Apr 17,AZ,@ MIA,4.09,Eduardo Rodriguez,2025
Apr 23,AZ,vs TB,4.4,Eduardo Rodriguez,2025
Apr 29,AZ,@ NYM,6.06,Eduardo Rodriguez,2025
May 4,AZ,@ PHI,5.92,Eduardo Rodriguez,2025
Mar 30,AZ,vs CHC,5.06,Eduardo Rodriguez,2025
Apr 5,AZ,@ WSH,6.1,Eduardo Rodriguez,2025
Apr 11,AZ,vs MIL,4.86,Eduardo Rodriguez,2025
Apr 17,AZ,@ MIA,4.09,Eduardo Rodriguez,2025
Apr 23,AZ,vs TB,4.4,Eduardo Rodriguez,2025
Apr 29,AZ,@ NYM,6.06,Eduardo Rodriguez,2025
May 4,AZ,@ PHI,5.92,Eduardo Rodriguez,2025
Mar 27,TOR,vs BAL,10.8,Jose Berrios,2025
Apr 1,TOR,vs WSH,6.75,Jose Berrios,2025
Apr 7,TOR,@ BOS,4.58,Jose Berrios,2025
Apr 13,TOR,@ BAL,5.16,Jose Berrios,2025
Apr 19,TOR,vs SEA,5.02,Jose Berrios,2025
Apr 25,TOR,@ NYY,4.24,Jose Berrios,2025
May 1,TOR,vs BOS,3.98,Jose Berrios,2025
Mar 27,TOR,vs BAL,10.8,Jose Berrios,2025
Apr 1,TOR,vs WSH,6.75,Jose Berrios,2025
Apr 7,TOR,@ BOS,4.58,Jose Berrios,2025
Apr 13,TOR,@ BAL,5.16,Jose Berrios,2025
Apr 19,TOR,vs SEA,5.02,Jose Berrios,2025
Apr 25,TOR,@ NYY,4.24,Jose Berrios,2025
May 1,TOR,vs BOS,3.98,Jose Berrios,2025
Mar 27,STL,vs MIN,3.6,Sonny Gray,2025
Apr 2,STL,vs LAA,5.73,Sonny Gray,2025
Apr 8,STL,@ PIT,4.5,Sonny Gray,2025
Apr 14,STL,vs HOU,3.13,Sonny Gray,2025
Apr 20,STL,@ NYM,3.41,Sonny Gray,2025
Apr 26,STL,vs MIL,3.6,Sonny Gray,2025
May 2,STL,vs NYM,4.12,Sonny Gray,2025
Mar 27,STL,vs MIN,3.6,Sonny Gray,2025
Apr 2,STL,vs LAA,5.73,Sonny Gray,2025
Apr 8,STL,@ PIT,4.5,Sonny Gray,2025
Apr 14,STL,vs HOU,3.13,Sonny Gray,2025
Apr 20,STL,@ NYM,3.41,Sonny Gray,2025
Apr 26,STL,vs MIL,3.6,Sonny Gray,2025
May 2,STL,vs NYM,4.12,Sonny Gray,2025
Mar 27,NYY,vs MIL,1.69,Carlos Rodon,2025
Apr 2,NYY,vs AZ,3.97,Carlos Rodon,2025
Apr 7,NYY,@ DET,5.19,Carlos Rodon,2025
Apr 13,NYY,vs SF,5.48,Carlos Rodon,2025
Apr 18,NYY,@ TB,4.34,Carlos Rodon,2025
Apr 23,NYY,@ CLE,3.5,Carlos Rodon,2025
Apr 29,NYY,@ BAL,3.43,Carlos Rodon,2025
Mar 27,NYY,vs MIL,1.69,Carlos Rodon,2025
Apr 2,NYY,vs AZ,3.97,Carlos Rodon,2025
Apr 7,NYY,@ DET,5.19,Carlos Rodon,2025
Apr 13,NYY,vs SF,5.48,Carlos Rodon,2025
Apr 18,NYY,@ TB,4.34,Carlos Rodon,2025
Apr 23,NYY,@ CLE,3.5,Carlos Rodon,2025
Apr 29,NYY,@ BAL,3.43,Carlos Rodon,2025
Mar 27,NYM,@ HOU,0.0,Huascar Brazoban,2025
Mar 31,NYM,@ MIA,0.0,Huascar Brazoban,2025
Apr 2,NYM,@ MIA,0.0,Huascar Brazoban,2025
Apr 5,NYM,vs TOR,0.0,Huascar Brazoban,2025
Apr 8,NYM,vs MIA,1.08,Huascar Brazoban,2025
Apr 9,NYM,vs MIA,0.96,Huascar Brazoban,2025
Apr 14,NYM,@ MIN,0.79,Huascar Brazoban,2025
Apr 16,NYM,@ MIN,0.73,Huascar Brazoban,2025
Apr 18,NYM,vs STL,1.35,Huascar Brazoban,2025
Apr 22,NYM,vs PHI,1.26,Huascar Brazoban,2025
Apr 23,NYM,vs PHI,1.17,Huascar Brazoban,2025
Apr 25,NYM,@ WSH,1.65,Huascar Brazoban,2025
Apr 27,NYM,@ WSH,1.56,Huascar Brazoban,2025
Apr 30,NYM,vs AZ,1.4,Huascar Brazoban,2025
May 4,NYM,@ STL,1.37,Huascar Brazoban,2025
Mar 27,NYM,@ HOU,0.0,Huascar Brazoban,2025
Mar 31,NYM,@ MIA,0.0,Huascar Brazoban,2025
Apr 2,NYM,@ MIA,0.0,Huascar Brazoban,2025
Apr 5,NYM,vs TOR,0.0,Huascar Brazoban,2025
Apr 8,NYM,vs MIA,1.08,Huascar Brazoban,2025
Apr 9,NYM,vs MIA,0.96,Huascar Brazoban,2025
Apr 14,NYM,@ MIN,0.79,Huascar Brazoban,2025
Apr 16,NYM,@ MIN,0.73,Huascar Brazoban,2025
Apr 18,NYM,vs STL,1.35,Huascar Brazoban,2025
Apr 22,NYM,vs PHI,1.26,Huascar Brazoban,2025
Apr 23,NYM,vs PHI,1.17,Huascar Brazoban,2025
Apr 25,NYM,@ WSH,1.65,Huascar Brazoban,2025
Apr 27,NYM,@ WSH,1.56,Huascar Brazoban,2025
Apr 30,NYM,vs AZ,1.4,Huascar Brazoban,2025
May 4,NYM,@ STL,1.37,Huascar Brazoban,2025
Mar 27,PIT,@ MIA,3.38,Paul Skenes,2025
Apr 2,PIT,@ TB,1.46,Paul Skenes,2025
Apr 8,PIT,vs STL,3.44,Paul Skenes,2025
Apr 14,PIT,vs WSH,2.96,Paul Skenes,2025
Apr 19,PIT,vs CLE,2.87,Paul Skenes,2025
Apr 25,PIT,@ LAD,2.39,Paul Skenes,2025
May 1,PIT,vs CHC,2.74,Paul Skenes,2025
Mar 27,PIT,@ MIA,3.38,Paul Skenes,2025
Apr 2,PIT,@ TB,1.46,Paul Skenes,2025
Apr 8,PIT,vs STL,3.44,Paul Skenes,2025
Apr 14,PIT,vs WSH,2.96,Paul Skenes,2025
Apr 19,PIT,vs CLE,2.87,Paul Skenes,2025
Apr 25,PIT,@ LAD,2.39,Paul Skenes,2025
May 1,PIT,vs CHC,2.74,Paul Skenes,2025
Apr 1,KC,@ MIL,5.06,Michael Lorenzen,2025
Apr 7,KC,vs MIN,3.18,Michael Lorenzen,2025
Apr 12,KC,@ CLE,3.71,Michael Lorenzen,2025
Apr 17,KC,@ DET,4.57,Michael Lorenzen,2025
Apr 24,KC,vs COL,3.9,Michael Lorenzen,2025
Apr 29,KC,@ TB,3.48,Michael Lorenzen,2025
May 4,KC,@ BAL,4.23,Michael Lorenzen,2025
Apr 1,KC,@ MIL,5.06,Michael Lorenzen,2025
Apr 7,KC,vs MIN,3.18,Michael Lorenzen,2025
Apr 12,KC,@ CLE,3.71,Michael Lorenzen,2025
Apr 17,KC,@ DET,4.57,Michael Lorenzen,2025
Apr 24,KC,vs COL,3.9,Michael Lorenzen,2025
Apr 29,KC,@ TB,3.48,Michael Lorenzen,2025
May 4,KC,@ BAL,4.23,Michael Lorenzen,2025
Apr 13,TB,vs ATL,0.0,Joe Boyle,2025
Apr 13,TB,vs ATL,0.0,Joe Boyle,2025
Apr 1,NYY,vs AZ,3.6,Will Warren,2025
Apr 6,NYY,@ PIT,6.0,Will Warren,2025
Apr 12,NYY,vs SF,5.14,Will Warren,2025
Apr 17,NYY,@ TB,5.17,Will Warren,2025
Apr 22,NYY,@ CLE,4.79,Will Warren,2025
Apr 28,NYY,@ BAL,5.63,Will Warren,2025
May 4,NYY,vs TB,5.65,Will Warren,2025
Apr 1,NYY,vs AZ,3.6,Will Warren,2025
Apr 6,NYY,@ PIT,6.0,Will Warren,2025
Apr 12,NYY,vs SF,5.14,Will Warren,2025
Apr 17,NYY,@ TB,5.17,Will Warren,2025
Apr 22,NYY,@ CLE,4.79,Will Warren,2025
Apr 28,NYY,@ BAL,5.63,Will Warren,2025
May 4,NYY,vs TB,5.65,Will Warren,2025
Mar 19,LAD,@ CHC,3.0,Roki Sasaki,2025
Mar 29,LAD,vs DET,5.79,Roki Sasaki,2025
Apr 5,LAD,@ PHI,4.15,Roki Sasaki,2025
Apr 12,LAD,vs CHC,3.29,Roki Sasaki,2025
Apr 19,LAD,@ TEX,3.2,Roki Sasaki,2025
Apr 26,LAD,vs PIT,3.55,Roki Sasaki,2025
May 3,LAD,@ ATL,3.86,Roki Sasaki,2025
Mar 19,LAD,@ CHC,3.0,Roki Sasaki,2025
Mar 29,LAD,vs DET,5.79,Roki Sasaki,2025
Apr 5,LAD,@ PHI,4.15,Roki Sasaki,2025
Apr 12,LAD,vs CHC,3.29,Roki Sasaki,2025
Apr 19,LAD,@ TEX,3.2,Roki Sasaki,2025
Apr 26,LAD,vs PIT,3.55,Roki Sasaki,2025
May 3,LAD,@ ATL,3.86,Roki Sasaki,2025
Mar 28,SD,vs ATL,6.23,Dylan Cease,2025
Apr 2,SD,vs CLE,3.38,Dylan Cease,2025
Apr 8,SD,@ ATH,7.98,Dylan Cease,2025
Apr 14,SD,vs CHC,6.64,Dylan Cease,2025
Apr 20,SD,@ HOU,6.04,Dylan Cease,2025
Apr 26,SD,vs TB,5.76,Dylan Cease,2025
May 2,SD,@ PIT,5.61,Dylan Cease,2025
